first_name,last_name,birth_date,from_date,to_date,title
Hilari,Morton,1965-01-03,1994-03-10,9999-01-01,Senior Staff
Ohad,Esposito,1965-01-19,1998-08-06,9999-01-01,Technique Leader
Dipayan,Seghrouchni,1965-01-23,1987-03-30,9999-01-01,Senior Staff
Takahito,Gecsei,1965-01-19,1993-10-16,1996-07-21,Staff
Kokou,Iisaka,1965-01-01,1987-09-20,9999-01-01,Senior Staff
Make,Baba,1965-01-25,1988-05-18,1989-06-03,Staff
Teunis,Noriega,1965-01-09,1993-01-23,1999-02-12,Technique Leader
Lech,Himler,1965-01-19,1992-01-21,9999-01-01,Senior Staff
Juyoung,Seghrouchni,1965-01-24,1993-08-02,9999-01-01,Senior Engineer
Jeanna,Riesenhuber,1965-01-24,1998-03-14,2000-02-22,Senior Staff
Hideo,Daescu,1965-01-08,1992-02-25,2002-04-04,Senior Staff
Mario,Cochrane,1965-02-01,1985-03-30,1991-02-06,Engineer
Yongmao,Zwicker,1965-01-15,1987-10-19,1997-09-13,Engineer
Keiichiro,Glinert,1965-01-21,1993-09-16,9999-01-01,Engineer
Rasiah,Sudkamp,1965-01-10,1995-04-18,9999-01-01,Senior Engineer
Morrie,Schurmann,1965-01-30,1998-12-31,9999-01-01,Staff
Kazuhiko,Sidou,1965-01-16,1991-09-01,9999-01-01,Technique Leader
Angus,Chelton,1965-01-10,1986-04-18,1987-02-02,Senior Engineer
Denny,Tchuente,1965-01-03,1991-05-30,9999-01-01,Assistant Engineer
Sudhanshu,Demian,1965-01-03,1994-07-23,9999-01-01,Senior Staff
Magdalena,Cannard,1965-01-10,1994-04-22,9999-01-01,Engineer
Caolyn,Setiz,1965-01-22,1990-02-06,9999-01-01,Senior Staff
Sastry,Marrevee,1965-01-19,1999-09-25,9999-01-01,Engineer
Richard,Sinitsyn,1965-01-18,1993-06-27,1993-09-16,Senior Staff
Nakhoon,Luga,1965-01-14,1986-12-18,9999-01-01,Senior Staff
Nikolaos,Kruskal,1965-01-18,1990-12-17,9999-01-01,Engineer
